,Number of iterations,Number of cuts,Number of executions,Average error
231,113.0,2.0,113.0,0.00042115071267943057
232,174.0,2.0,174.0,6.649407304084637e-05
233,167.0,2.0,167.0,8.352387117580263e-05
234,130.0,2.0,130.0,0.0004803009034147522
235,116.0,2.0,116.0,0.00020959965846328778
236,110.0,2.0,110.0,0.0005176164656235969
237,207.0,1.0,207.0,3.522120750366897e-06
238,129.0,2.0,129.0,0.0002538635159590275
239,195.0,1.0,195.0,7.706549787697692e-06
240,156.0,2.0,156.0,0.0001253674867565537
241,151.0,1.0,151.0,1.7807092956727277e-05
242,266.0,2.0,266.0,0.000229045865874701
243,176.0,1.0,176.0,3.8966459880995785e-06
244,254.0,2.0,254.0,0.0004570369327537324
245,189.0,1.0,189.0,1.3031383809824354e-05
246,141.0,2.0,141.0,0.00016982315388581852
247,138.0,2.0,138.0,0.00013327179459089508
248,138.0,2.0,138.0,0.0002556002210674503
249,150.0,2.0,150.0,0.00020871613278007918
250,148.0,1.0,148.0,6.55651699058013e-06
251,168.0,2.0,168.0,5.4060258959777105e-05
252,165.0,1.0,165.0,1.4639646676403717e-05
253,235.0,2.0,235.0,0.0006050946253081127
254,205.0,1.0,205.0,8.68299004871953e-06
255,120.0,2.0,120.0,0.0006394270147679091
256,194.0,1.0,194.0,5.32679458238941e-06
257,185.0,2.0,185.0,4.5801137604982975e-05
258,107.0,2.0,107.0,0.00031607222952474527
259,134.0,2.0,134.0,0.00026638896000761686
260,143.0,2.0,143.0,9.577378661423536e-05
261,198.0,1.0,198.0,1.0248829007603044e-05
262,211.0,1.0,211.0,5.253937961469113e-06
263,184.0,1.0,184.0,2.0425675847146607e-05
264,2731.0,2.0,2731.0,0.00036245299632643117
265,185.0,1.0,185.0,1.0074460653597406e-05
266,154.0,2.0,154.0,0.0005461543902396206
267,191.0,1.0,191.0,4.655760937860576e-06
268,161.0,1.0,161.0,7.352870592912397e-06
269,167.0,1.0,167.0,5.7938863668866025e-06
270,207.0,1.0,207.0,4.187644854044409e-06
271,199.0,1.0,199.0,6.142229979765046e-06
272,131.0,2.0,131.0,0.00014652628766485343
273,206.0,1.0,206.0,4.928788711687504e-06
274,127.0,2.0,127.0,0.00017258448983394967
275,196.0,1.0,196.0,4.257383483141641e-06
276,181.0,1.0,181.0,1.5024491998028022e-05
277,212.0,1.0,212.0,4.177479457481703e-06
278,98.0,2.0,98.0,0.0012539852419450282
279,118.0,2.0,118.0,0.0001528726403604132
280,196.0,2.0,196.0,7.947642607081873e-05
281,206.0,1.0,206.0,3.871798977921059e-06
282,100.0,2.0,100.0,0.001435505768966969
283,175.0,1.0,175.0,1.096151410900914e-05
284,148.0,2.0,148.0,0.00045379621260179464
285,237.0,2.0,237.0,7.427187250074066e-05
286,199.0,1.0,199.0,1.437739232626467e-05
287,242.0,2.0,242.0,0.00010728194351975098
288,185.0,1.0,185.0,6.7997252767727084e-06
289,212.0,1.0,212.0,6.5157213475844356e-06
290,107.0,2.0,107.0,0.0011461191893403118
291,219.0,2.0,219.0,7.472603319390661e-05
292,191.0,1.0,191.0,1.8354029618951329e-06
293,218.0,1.0,218.0,4.3690708502602815e-06
294,259.0,2.0,259.0,8.177738171917266e-05
295,133.0,2.0,133.0,0.00015946842867556004
296,159.0,1.0,159.0,1.8735568611809306e-05
297,136.0,2.0,136.0,0.0003055545118270545
298,188.0,1.0,188.0,1.1277236957180081e-05
299,211.0,1.0,211.0,3.9297333628181275e-06
300,200.0,1.0,200.0,4.17124257018342e-06
301,181.0,1.0,181.0,3.4994829885247325e-05
302,183.0,1.0,183.0,5.931032779363243e-06
303,145.0,1.0,145.0,1.904156956953479e-05
304,206.0,1.0,206.0,8.512417638550929e-06
305,113.0,2.0,113.0,0.00026541567690369056
306,200.0,1.0,200.0,5.169462632965971e-06
307,289.0,2.0,289.0,7.857145950198573e-05
308,217.0,2.0,217.0,5.079021381572185e-05
309,173.0,1.0,173.0,1.543407124830233e-05
310,190.0,1.0,190.0,7.935176693923962e-06
311,196.0,1.0,196.0,3.996738887568352e-06
312,132.0,2.0,132.0,0.000190931791578813
313,197.0,1.0,197.0,1.2543699851610968e-05
314,203.0,2.0,203.0,3.742044559526363e-05
315,186.0,1.0,186.0,6.03921322905876e-06
316,196.0,1.0,196.0,7.681990831232e-06
317,231.0,1.0,231.0,4.210109704250176e-06
318,198.0,2.0,198.0,0.009928058415493785
319,168.0,1.0,168.0,1.609617232604943e-05
320,190.0,1.0,190.0,1.1878239359219833e-05
321,162.0,2.0,162.0,0.00012926585785180602
322,127.0,2.0,127.0,0.00024176109882249568
323,145.0,2.0,145.0,6.662575439384997e-05
324,201.0,1.0,201.0,1.06589655003448e-05
325,157.0,1.0,157.0,1.6769533762658884e-05
326,178.0,1.0,178.0,9.702073966763591e-06
327,194.0,1.0,194.0,4.797817976888441e-06
328,241.0,2.0,241.0,5.203175472046304e-05
329,184.0,1.0,184.0,8.732776968362055e-06
330,171.0,1.0,171.0,1.2849377317741828e-05
331,231.0,2.0,231.0,6.333502775103326e-05
332,333.0,2.0,333.0,4.100781690811843e-05
333,207.0,1.0,207.0,3.186428496698701e-06
334,178.0,1.0,178.0,1.87319162336802e-05
335,177.0,2.0,177.0,6.812328673335344e-05
336,197.0,2.0,197.0,1.7416269094978926e-05
337,189.0,1.0,189.0,8.40180402617019e-06
338,185.0,1.0,185.0,8.904250754199206e-06
339,179.0,2.0,179.0,0.00011429219228531896
340,197.0,1.0,197.0,6.356641835902899e-06
341,182.0,2.0,182.0,4.761820213460636e-05
342,141.0,2.0,141.0,0.00018471993314836312
343,146.0,2.0,146.0,0.0001592223177249467
344,67.0,2.0,67.0,0.014523669921111865
345,146.0,2.0,146.0,0.00017916566261482443
346,169.0,1.0,169.0,1.418147176256157e-05
347,184.0,2.0,184.0,0.00020810718727512167
348,118.0,2.0,118.0,0.0004707464965026502
349,147.0,2.0,147.0,8.445926901455049e-05
350,173.0,1.0,173.0,2.167598197074655e-05
351,119.0,2.0,119.0,0.0001941111306814525
352,175.0,2.0,175.0,0.00015178482886319032
353,118.0,2.0,118.0,0.0001827370844888765
354,163.0,1.0,163.0,3.479064111841512e-06
355,154.0,2.0,154.0,0.00014094463205152445
356,164.0,2.0,164.0,5.201249358503671e-05
357,298.0,2.0,298.0,4.2002329415009344e-05
358,165.0,2.0,165.0,0.00016520938954333401
359,133.0,2.0,133.0,0.00010401962377925688
360,3401.0,2.0,3401.0,0.0006104639313830434
361,184.0,2.0,184.0,3.2752774241793115e-05
362,166.0,2.0,166.0,5.0236963155551786e-05
363,191.0,1.0,191.0,8.085260144719691e-06
364,161.0,1.0,161.0,3.383711301239295e-06
365,205.0,1.0,205.0,6.5071631147883835e-06
366,191.0,1.0,191.0,1.0710162530958023e-05
367,115.0,2.0,115.0,0.00023979562291000957
368,178.0,2.0,178.0,2.2445038908758437e-05
369,248.0,2.0,248.0,5.383324774037648e-05
370,190.0,1.0,190.0,8.423712517455217e-06
371,174.0,2.0,174.0,0.0002680300517217597
372,134.0,2.0,134.0,0.00038530353873872093
373,445.0,2.0,445.0,0.002088888933245235
374,171.0,1.0,171.0,6.1472161010517334e-06
375,129.0,2.0,129.0,0.00017871817603650383
376,208.0,1.0,208.0,3.4071568056244506e-06
377,188.0,2.0,188.0,5.394928449617102e-05
378,99.0,2.0,99.0,0.0005179228745540038
379,191.0,1.0,191.0,3.74494016484872e-06
380,100.0,2.0,100.0,0.0008207380818191085
381,167.0,2.0,167.0,3.472341695562089e-05
382,202.0,1.0,202.0,5.874226458618681e-06
383,192.0,1.0,192.0,1.2877415526021257e-05
384,183.0,1.0,183.0,1.1859889566433884e-05
385,164.0,1.0,164.0,1.0310045213936248e-05
386,411.0,2.0,411.0,0.00011302374478754067
387,152.0,2.0,152.0,6.82027468482431e-05
388,140.0,2.0,140.0,0.00016351331079745963
389,196.0,1.0,196.0,3.25736548223432e-06
390,149.0,1.0,149.0,2.4237940391358404e-05
391,192.0,2.0,192.0,6.568448364429528e-05
392,184.0,1.0,184.0,7.726312598994867e-06
393,192.0,2.0,192.0,4.09480877645646e-05
394,206.0,1.0,206.0,4.913752969321061e-06
395,201.0,1.0,201.0,6.773343949197097e-06
396,197.0,1.0,197.0,3.8317199179474515e-06
397,193.0,1.0,193.0,5.225618526200071e-06
398,207.0,1.0,207.0,5.152312701789397e-06
399,134.0,2.0,134.0,0.0001719426416877872
400,177.0,1.0,177.0,2.1913197663120387e-05
401,137.0,2.0,137.0,6.484486910224962e-05
402,132.0,2.0,132.0,8.760365963584845e-05
403,204.0,1.0,204.0,8.975884023466885e-06
404,183.0,1.0,183.0,5.4402463519620525e-06
405,206.0,1.0,206.0,4.670375389134729e-06
406,184.0,1.0,184.0,8.63831856287578e-06
407,190.0,1.0,190.0,8.34101671812193e-06
408,140.0,2.0,140.0,0.00016214387797176548
409,181.0,1.0,181.0,9.566724492673234e-06
410,193.0,1.0,193.0,1.0416013877440067e-05
411,163.0,2.0,163.0,0.0011792373145018784
412,120.0,2.0,120.0,0.00034313957545332053
413,188.0,1.0,188.0,7.245668385578996e-06
414,206.0,1.0,206.0,5.997398635354534e-06
415,136.0,2.0,136.0,0.0001127681087620573
416,189.0,2.0,189.0,5.068174457616177e-05
417,145.0,2.0,145.0,9.087277893283947e-05
418,210.0,1.0,210.0,3.370927726772943e-06
419,199.0,1.0,199.0,3.3902108852457147e-06
420,140.0,2.0,140.0,0.00018358344850362562
421,214.0,2.0,214.0,0.000142999934265972
422,195.0,1.0,195.0,6.714019106110469e-06
423,95.0,2.0,95.0,0.0006651808932720289
424,188.0,1.0,188.0,2.5087471105939008e-06
425,161.0,1.0,161.0,4.008459551702037e-05
426,129.0,2.0,129.0,0.0001673213246127667
427,204.0,1.0,204.0,6.972346549793257e-06
428,180.0,1.0,180.0,1.2420902504042819e-05
429,204.0,1.0,204.0,4.1073053794749015e-06
430,185.0,2.0,185.0,0.0001630265761579958
431,177.0,1.0,177.0,1.1125939645417748e-05
432,199.0,1.0,199.0,5.01718247668953e-06
433,180.0,1.0,180.0,3.0823355996190127e-06
434,254.0,2.0,254.0,8.71067980686599e-05
435,198.0,1.0,198.0,1.1266625705511069e-05
436,181.0,1.0,181.0,4.3416784745731185e-06
437,443.0,2.0,443.0,0.0007930002172684943
438,118.0,2.0,118.0,0.0003203861576713442
439,195.0,1.0,195.0,8.810491497424078e-06
440,115.0,2.0,115.0,0.00037873170802879666
441,158.0,1.0,158.0,1.2706965655893271e-05
442,103.0,2.0,103.0,0.0006688453483473748
443,193.0,1.0,193.0,8.655499342466455e-06
444,177.0,1.0,177.0,9.43052376672221e-06
445,133.0,2.0,133.0,0.00047801971802110833
446,119.0,2.0,119.0,0.0002802938392534044
447,217.0,2.0,217.0,2.4145880900023942e-05
448,206.0,1.0,206.0,8.238772921428938e-06
449,211.0,1.0,211.0,3.4801886296537132e-06
450,191.0,1.0,191.0,4.682318514609429e-06
451,182.0,1.0,182.0,6.4200269634870355e-06
452,220.0,1.0,220.0,4.15632013542333e-06
453,127.0,2.0,127.0,0.00031421086502942346
454,123.0,2.0,123.0,0.00021962650465864774
455,161.0,1.0,161.0,1.5533157719328783e-05
456,336.0,2.0,336.0,5.772056141391922e-05
457,134.0,2.0,134.0,0.0001537053436103438
458,108.0,2.0,108.0,0.005052193522961837
459,219.0,1.0,219.0,3.2713364477299223e-06
460,187.0,1.0,187.0,1.3167006909869938e-05
461,267.0,2.0,267.0,9.606036763892909e-05
462,76.0,2.0,76.0,0.00136407794498884
463,179.0,1.0,179.0,4.0611151510758225e-06
464,101.0,2.0,101.0,0.0006317982385619251
465,151.0,2.0,151.0,0.0001865536959183483
466,121.0,2.0,121.0,0.0004680857785422686
467,179.0,2.0,179.0,7.54630339496871e-05
468,118.0,2.0,118.0,0.00025801292308768865
469,296.0,2.0,296.0,0.00013330384480675405
470,193.0,1.0,193.0,4.877232343353244e-06
471,129.0,2.0,129.0,0.00018186334684005658
472,358.0,2.0,358.0,3.691902808290072e-05
473,212.0,1.0,212.0,7.670289875468667e-06
474,203.0,1.0,203.0,7.738502057232782e-06
475,126.0,2.0,126.0,0.0002228263089449008
476,180.0,1.0,180.0,2.876833357522146e-05
477,190.0,1.0,190.0,2.9355189118535074e-06
478,193.0,1.0,193.0,1.1947950104028437e-05
479,184.0,1.0,184.0,9.311719601980128e-06
480,138.0,1.0,138.0,2.5218447338876473e-05
481,122.0,2.0,122.0,0.0003717859463446079
